Name,Department,Percentage
Yatharth,Computer Engineering,99
Yuvraj,IT,98
Vihanee,Civil,97
Raju,IT,95
Avasti,Chemical,80
Ashima,Civil,66
Mahi,Electrical,89
Riya,CSE,90
Nisha,Computer Engineering,50
Pooja,Civil,45
Komal,CSE,40
Sagar,IT,46
Akash,Chemical,40
Yatharth,Computer Engineering,99
Yuvraj,IT,98
Vihanee,Civil,97
Raju,IT,95
Avasti,Chemical,80
Ashima,Civil,66
Mahi,Electrical,89
Riya,CSE,90
Nisha,Computer Engineering,50
Pooja,Civil,45
Komal,CSE,40
Sagar,IT,46
Akash,Chemical,40
Yatharth,Computer Engineering,99
Yuvraj,IT,98
Vihanee,Civil,97
Raju,IT,95
Avasti,Chemical,80
Ashima,Civil,66
Mahi,Electrical,89
Riya,CSE,90
Nisha,Computer Engineering,50
Pooja,Civil,45
Komal,CSE,40
Sagar,IT,46
Akash,Chemical,40
Yatharth,Computer Engineering,99
Yuvraj,IT,98
Vihanee,Civil,97
Raju,IT,95
Avasti,Chemical,80
Ashima,Civil,66
Mahi,Electrical,89
Riya,CSE,90
Nisha,Computer Engineering,50
Pooja,Civil,45
Komal,CSE,40
Sagar,IT,46
Akash,Chemical,40
Yatharth,Computer Engineering,99
Yuvraj,IT,98
Vihanee,Civil,97
Raju,IT,95
Avasti,Chemical,80
Ashima,Civil,66
Mahi,Electrical,89
Riya,CSE,90
Nisha,Computer Engineering,50
Pooja,Civil,45
Komal,CSE,40
Sagar,IT,46
Akash,Chemical,40
